"","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","alpha"
"120","M1981P573","8_0976.root","8_0976","root","ecotypes","2008","2011","3","Mah","field","JAM.1.A","JAM","8_21","p206","M1981","Ecotypes",5.39918585967247
"121","M1980P483","8_0991.leaf","8_0991","leaf","ecotypes","2008","2011","3","Mah","field","MAH.38.B","MAH","8_21","p205","M1980","Ecotypes",4.11760733283048
"122","M1955P738","8_0991.root","8_0991","root","ecotypes","2008","2011","3","Mah","field","MAH.38.B","MAH","8_21","p208","M1955","Ecotypes",5.28847922700763
"123","M1980P464","8_0998.leaf","8_0998","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_21","p205","M1980","Ecotypes",4.13533793135798
"124","M1982P730","8_0998.root","8_0998","root","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_21","p207","M1982","Ecotypes",5.59033225652995
"125","M1980P543","8_1003.leaf","8_1003","leaf","ecotypes","2008","2011","3","Mah","field","PAR.29.B2","PAR","8_21","p205","M1980","Ecotypes",4.39626418227798
"126","M1981P598","8_1003.root","8_1003","root","ecotypes","2008","2011","3","Mah","field","PAR.29.B2","PAR","8_21","p206","M1981","Ecotypes",5.600715625786
"127","M1980P505","8_1013.leaf","8_1013","leaf","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_22","p205","M1980","Ecotypes",0.473788840240313
"128","M1551P48","8_1013.root","8_1013","root","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_22","p200","M1551","Ecotypes",5.40123960718293
"129","M1981P582","8_1023.leaf","8_1023","leaf","ecotypes","2008","2011","3","Jam","field","MIL.68.B","MIL","8_22","p206","M1981","Ecotypes",3.89954934972289
"130","M1979P370","8_1023.root","8_1023","root","ecotypes","2008","2011","3","Jam","field","MIL.68.B","MIL","8_22","p204","M1979","Ecotypes",5.27629580363189
"131","M1982P679","8_1032.leaf","8_1032","leaf","ecotypes","2008","2011","3","Jam","field","JAM.15.A","JAM","8_22","p207","M1982","Ecotypes",1.49511536807586
"132","M1978P359","8_1032.root","8_1032","root","ecotypes","2008","2011","3","Jam","field","JAM.15.A","JAM","8_22","p203","M1978","Ecotypes",4.91813866651911
"133","M1979P441","8_1047.leaf","8_1047","leaf","ecotypes","2008","2011","3","Jam","field","MAH.48.A","MAH","8_22","p204","M1979","Ecotypes",0.774998146975731
"134","M1551P80","8_1047.root","8_1047","root","ecotypes","2008","2011","3","Jam","field","MAH.48.A","MAH","8_22","p200","M1551","Ecotypes",5.50938295358529
"135","M1982P663","8_1048.leaf","8_1048","leaf","ecotypes","2008","2011","3","Jam","field","SILLow.2","SIL","8_22","p207","M1982","Ecotypes",1.88061101839065
"136","M1551P31","8_1048.root","8_1048","root","ecotypes","2008","2011","3","Jam","field","SILLow.2","SIL","8_22","p200","M1551","Ecotypes",4.82485920270994
"137","M1956P915","8_1061.leaf","8_1061","leaf","ecotypes","2008","2011","3","Sil","field","MIL.54.A","MIL","8_23","p209","M1956","Ecotypes",3.6925245757156
"138","M1978P327","8_1061.root","8_1061","root","ecotypes","2008","2011","3","Sil","field","MIL.54.A","MIL","8_23","p203","M1978","Ecotypes",5.90028197904689
"139","M1961P1338","8_1064.leaf","8_1064","leaf","ecotypes","2008","2011","3","Sil","field","PAR.29.B2","PAR","8_23","p214","M1961","Ecotypes",4.50875028248398
"140","M1554P130","8_1064.root","8_1064","root","ecotypes","2008","2011","3","Sil","field","PAR.29.B2","PAR","8_23","p201","M1554","Ecotypes",5.77012395800057
"141","M1977P1737","8_1069.leaf","8_1069","leaf","ecotypes","2008","2011","3","Sil","field","JAM.40.A","JAM","8_23","p217","M1977","Ecotypes",3.89228735822894
"142","M1554P119","8_1069.root","8_1069","root","ecotypes","2008","2011","3","Sil","field","JAM.40.A","JAM","8_23","p201","M1554","Ecotypes",5.78265641502335
"143","M1961P1369","8_1071.leaf","8_1071","leaf","ecotypes","2008","2011","3","Sil","field","SILupper.2","SIL","8_23","p214","M1961","Ecotypes",3.84259647815621
"144","M1555P232","8_1071.root","8_1071","root","ecotypes","2008","2011","3","Sil","field","SILupper.2","SIL","8_23","p202","M1555","Ecotypes",5.78122257108908
"145","M1959P1171","8_1076.leaf","8_1076","leaf","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_23","p212","M1959","Ecotypes",3.2791467592947
"146","M1978P314","8_1076.root","8_1076","root","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_23","p203","M1978","Ecotypes",5.7385802775045
"147","M1955P817","8_1203.leaf","8_1203","leaf","ecotypes","2008","2011","3","Sil","field","MAH.38.B","MAH","8_26","p208","M1955","Ecotypes",3.494317052162
"148","M1554P160","8_1203.root","8_1203","root","ecotypes","2008","2011","3","Sil","field","MAH.38.B","MAH","8_26","p201","M1554","Ecotypes",5.92445311078227
"149","M1957P1002","8_1204.leaf","8_1204","leaf","ecotypes","2008","2011","3","Sil","field","SILLow.8","SIL","8_26","p210","M1957","Ecotypes",3.41796815871207
"150","M1554P175","8_1204.root","8_1204","root","ecotypes","2008","2011","3","Sil","field","SILLow.8","SIL","8_26","p201","M1554","Ecotypes",5.90194898325188
"151","M1961P1321","8_1209.leaf","8_1209","leaf","ecotypes","2008","2011","3","Sil","field","PAR.22.A2","PAR","8_26","p214","M1961","Ecotypes",3.7227986256266
"152","M1978P290","8_1209.root","8_1209","root","ecotypes","2008","2011","3","Sil","field","PAR.22.A2","PAR","8_26","p203","M1978","Ecotypes",5.34803145436871
"153","M1960P1254","8_1214.leaf","8_1214","leaf","ecotypes","2008","2011","3","Sil","field","JAM.40.A","JAM","8_26","p213","M1960","Ecotypes",3.28767414155092
"154","M1979P417","8_1214.root","8_1214","root","ecotypes","2008","2011","3","Sil","field","JAM.40.A","JAM","8_26","p204","M1979","Ecotypes",5.80928665796106
"155","M1960P1224","8_1225.leaf","8_1225","leaf","ecotypes","2008","2011","3","Sil","field","MIL.54.A","MIL","8_26","p213","M1960","Ecotypes",4.35330075514448
"156","M1555P265","8_1225.root","8_1225","root","ecotypes","2008","2011","3","Sil","field","MIL.54.A","MIL","8_26","p202","M1555","Ecotypes",5.67701796063011
"157","M1981P560","8_1298.leaf","8_1298","leaf","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_28","p206","M1981","Ecotypes",3.55380615938224
"158","M1982P720","8_1298.root","8_1298","root","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_28","p207","M1982","Ecotypes",5.12593816742539
"159","M1980P503","8_1322.leaf","8_1322","leaf","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_28","p205","M1980","Ecotypes",4.12499330902089
